mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,121.17886543273926,130.24044036865234,133.62789154052734
mps-uncap,0.9,603.5618782043457,349.58410263061523,362.4997138977051
mps-uncap,1.0,5605.802774429321,7223.525285720825,5540.999889373779
mps-uncap,0.5,24.60002899169922,35.661935806274414,40.7564640045166
mps-uncap,0.6,39.61944580078125,49.54957962036133,50.72498321533203
mps-uncap,0.7,46.82493209838867,95.43919563293457,95.0932502746582
mps-uncap,0.1,20.772218704223633,8.043050765991211,12.891054153442383
mps-uncap,0.2,21.825075149536133,11.927604675292969,14.430999755859375
mps-uncap,0.3,34.06047821044922,12.548446655273438,18.144607543945312
mps-uncap,0.4,25.156736373901367,15.962362289428711,33.13851356506348
