mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,10.954809188842773,9.361529350280763,10.355815887451168
mps-uncap,0.9,12.200958728790276,9.91813898086548,9.830355644226074
mps-uncap,1.0,12.472331523895264,10.032434463500977,9.052581787109375
mps-uncap,0.5,10.547332763671877,8.967351913452148,9.391374588012695
mps-uncap,0.6,10.131454467773432,8.991441726684572,9.871339797973624
mps-uncap,0.7,11.010394096374512,9.386274814605713,9.751272201538082
mps-uncap,0.1,11.369943618774414,11.212463378906243,11.95583820343018
mps-uncap,0.2,11.48869514465332,8.951425552368164,9.686994552612306
mps-uncap,0.3,11.325654983520511,8.568873405456543,9.123158454895012
mps-uncap,0.4,10.923409461975103,8.938179016113281,9.293866157531737
