mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,85.69620132446293,86.98333740234375,107.23554611206055
mps-uncap,0.9,572.1453118324278,279.2169380187989,330.0972461700437
mps-uncap,1.0,5572.738289833069,7087.984838485717,5426.913433074952
mps-uncap,0.5,23.650627136230472,21.544075012207028,30.497646331787042
mps-uncap,0.6,25.970702171325662,28.711109161376953,36.717510223388594
mps-uncap,0.7,36.48133039474487,52.41012334823574,63.01001071929931
mps-uncap,0.1,20.9810733795166,11.418275833129876,16.68109416961672
mps-uncap,0.2,24.686031341552763,10.563230514526378,15.357837677001953
mps-uncap,0.3,25.876007080078132,12.409834861755316,18.53363037109368
mps-uncap,0.4,24.145796298980727,16.114809513092055,22.414708137512207
