mode,load,0_mobilenet_v3_small-2,1_vgg16-4,2_vgg16-8
mps-uncap,0.8,7.379055023193359,7.645964622497559,8.353948593139648
mps-uncap,0.9,8.632302284240723,8.509635925292969,8.549213409423828
mps-uncap,1.0,8.636116981506348,8.65030288696289,8.651494979858398
mps-uncap,0.5,5.976557731628418,4.053235054016113,6.63304328918457
mps-uncap,0.6,5.5969953536987305,5.14674186706543,7.169485092163086
mps-uncap,0.7,5.583286285400391,6.8520307540893555,7.707118988037109
mps-uncap,0.1,9.424924850463867,3.5791397094726562,6.522178649902344
mps-uncap,0.2,9.500265121459961,3.5200119018554688,6.471872329711914
mps-uncap,0.3,9.308815002441406,3.4885406494140625,6.484508514404297
mps-uncap,0.4,7.636308670043945,3.6690235137939453,6.421089172363281
