mode,load,0_inception_v3-4,1_resnet101-32,2_resnet34-32
mps-uncap,0.8,29.043197631835938,87.39495277404785,27.496337890625
mps-uncap,0.9,73.08518886566162,2253.5550594329834,2139.8494243621826
mps-uncap,1.0,2480.2093505859375,3672.7850437164307,2185.4547262191772
mps-uncap,0.5,15.145540237426758,28.403282165527344,13.367652893066406
mps-uncap,0.6,15.439271926879883,34.052252769470215,15.52438735961914
mps-uncap,0.7,22.299528121948242,53.64727973937988,21.973252296447754
mps-uncap,0.1,18.846988677978516,22.28868007659912,9.257793426513672
mps-uncap,0.2,18.064498901367188,22.546052932739258,9.284496307373047
mps-uncap,0.3,15.910863876342773,25.108814239501953,9.377598762512207
mps-uncap,0.4,15.380382537841797,27.953505516052246,10.144233703613281
