mode,load,0_inception_v3-4,1_resnet101-32,2_resnet34-32
mps-uncap,0.8,20.706653594970703,31.846046447753906,13.389825820922852
mps-uncap,0.9,22.463202476501465,33.16700458526611,16.11161231994629
mps-uncap,1.0,25.38442611694336,34.13093090057373,13.823628425598145
mps-uncap,0.5,12.179374694824219,24.785280227661133,9.72294807434082
mps-uncap,0.6,12.303829193115234,27.34673023223877,11.712431907653809
mps-uncap,0.7,17.009496688842773,29.40654754638672,13.742685317993164
mps-uncap,0.1,18.651843070983887,22.169113159179688,9.189844131469727
mps-uncap,0.2,17.110466957092285,21.947622299194336,9.164571762084961
mps-uncap,0.3,15.393495559692383,23.285865783691406,9.163856506347656
mps-uncap,0.4,14.040946960449219,24.550199508666992,9.25898551940918
