mode,load,0_inception_v3-4,1_resnet101-32,2_resnet34-32
mps-uncap,0.8,0.01239776611328125,0.012159347534179688,0.011682510375976562
mps-uncap,0.9,0.012159347534179688,0.01239776611328125,0.012159347534179688
mps-uncap,1.0,0.012159347534179688,0.015497207641601562,0.011920928955078125
mps-uncap,0.5,0.012159347534179688,0.011444091796875,0.010967254638671875
mps-uncap,0.6,0.011920928955078125,0.011444091796875,0.011205673217773438
mps-uncap,0.7,0.011920928955078125,0.011682510375976562,0.011444091796875
mps-uncap,0.1,0.0152587890625,0.016450881958007812,0.015497207641601562
mps-uncap,0.2,0.012159347534179688,0.012636184692382812,0.014066696166992188
mps-uncap,0.3,0.011920928955078125,0.009775161743164062,0.011444091796875
mps-uncap,0.4,0.012636184692382812,0.0095367431640625,0.011205673217773438
