mode,load,0_inception_v3-4,1_resnet101-32,2_resnet34-32
mps-uncap,0.8,136.2187944215723,857.58481897947,1756.1406105891483
mps-uncap,0.9,145.0832209064338,962.2432092155826,1935.3529362256654
mps-uncap,1.0,160.76898114954446,919.025018630505,2176.048664664864
mps-uncap,0.5,85.02740828368451,534.7373213669607,1103.8666418915052
mps-uncap,0.6,102.99255793963044,632.4221167921139,1304.2055201165701
mps-uncap,0.7,119.43630887697016,804.0587284919998,1555.703299368666
mps-uncap,0.1,17.18663197577327,110.05584203831827,227.22521241293663
mps-uncap,0.2,35.27260720451786,214.84704598236587,417.1055588676322
mps-uncap,0.3,52.47961948066642,325.4133197989318,649.8783029926345
mps-uncap,0.4,69.80511299360668,413.35914136348043,894.4858944536123
