mode,load,0_densenet169-16,1_mobilenet_v3_large-2,2_resnet34-8
mps-uncap,0.8,17.484188079833984,6.280660629272461,7.209300994873047
mps-uncap,0.9,19.712209701538086,6.277322769165039,7.240533828735352
mps-uncap,1.0,19.6993350982666,6.422519683837891,7.32111930847168
mps-uncap,0.5,23.91672134399414,7.3223114013671875,7.027387619018555
mps-uncap,0.6,18.018007278442383,6.853580474853516,7.069110870361328
mps-uncap,0.7,18.611431121826172,6.735563278198242,7.134675979614258
mps-uncap,0.1,27.46105194091797,8.316516876220703,6.8225860595703125
mps-uncap,0.2,27.40955352783203,8.833646774291992,6.99305534362793
mps-uncap,0.3,27.907609939575195,9.731292724609375,333.86707305908203
mps-uncap,0.4,27.188777923583984,8.115530014038086,7.076025009155273
