mode,load,0_vgg16-4,1_vgg16-4,2_vgg16-4,3_vgg16-4
mig,0.1,19.220449924468994,20.046422481536844,20.025751590728756,40.00067710876465
mig,0.2,22.547016143798693,25.76560974121092,22.154116630554174,42.79968738555907
mig,0.3,26.77684545516966,33.951451778411815,30.849606990814216,56.06627464294427
mig,0.4,40.806245803833036,32.33523368835449,34.25905704498297,64.52951431274408
mig,0.5,39.852085113525334,44.05373096466063,46.288652420043974,71.83719635009768
mig,0.6,52.36809730529783,53.281354904174854,62.99928903579702,116.08686685562127
mig,0.7,67.32345342636108,67.96877384185794,70.98924636840822,107.93423175811766
mig,0.8,96.49567127227783,88.85498285293613,103.98401260375996,248.45755100250244
mig,0.9,125.19178867340084,208.18832397460773,174.40848827362063,397.52216339111106
mig,1.0,353.5689163208008,310.6036758422845,500.89540481567406,2123.705508708954
