mode,load,0_resnet152-4,1_resnet34-2,2_vgg19-16
mps-uncap,0.8,0.011682510375976562,0.01049041748046875,0.010251998901367188
mps-uncap,0.9,0.012159347534179688,0.010251998901367188,0.011205673217773438
mps-uncap,1.0,0.012636184692382812,0.011205673217773438,0.010013580322265625
mps-uncap,0.5,0.0133514404296875,0.011205673217773438,0.010967254638671875
mps-uncap,0.6,0.012874603271484375,0.01049041748046875,0.010251998901367188
mps-uncap,0.7,0.011920928955078125,0.010251998901367188,0.010013580322265625
mps-uncap,0.1,0.013828277587890625,0.011205673217773438,0.013828277587890625
mps-uncap,0.2,0.025510787963867188,0.012159347534179688,0.012159347534179688
mps-uncap,0.3,0.012874603271484375,0.011682510375976562,0.012159347534179688
mps-uncap,0.4,0.0133514404296875,0.01049041748046875,0.010967254638671875
