mode,load,0_vgg19-16,1_densenet169-16,2_mobilenet_v3_small-2
mps-uncap,1.0,22.306203842163086,64.75138664245605,21.37923240661621
mig,1.0,36.91411018371582,46.08583450317383,11.918306350708008
