mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,1.0,21.009445190429688,42.19698905944824,21.15774154663086
mig,1.0,17.53711700439453,64.70751762390137,9.483814239501953
