mode,load,0_inception_v3-16,1_resnet18-8,2_vgg11-4
mps-uncap,0.8,88.2573127746582,37.030935287475586,37.772178649902344
mps-uncap,0.9,281.83841705322266,103.65605354309082,58.48073959350586
mps-uncap,1.0,1703.7737369537354,1145.1416015625,450.1039981842041
mps-uncap,0.5,31.041622161865234,13.381004333496094,12.873172760009766
mps-uncap,0.6,60.10842323303223,16.12091064453125,12.50600814819336
mps-uncap,0.7,52.195072174072266,19.524335861206055,19.742965698242188
mps-uncap,0.1,19.721269607543945,4.652738571166992,2.868175506591797
mps-uncap,0.2,36.63372993469238,7.875204086303711,4.525661468505859
mps-uncap,0.3,27.384281158447266,8.595705032348633,10.390043258666992
mps-uncap,0.4,27.420759201049805,10.423660278320312,10.716676712036133
