mode,load,0_inception_v3-16,1_resnet18-8,2_vgg11-4
mps-uncap,0.8,18.61882209777832,5.879402160644531,4.749059677124023
mps-uncap,0.9,18.433570861816406,5.841493606567383,4.779338836669922
mps-uncap,1.0,19.474267959594727,5.944013595581055,4.87971305847168
mps-uncap,0.5,16.171693801879883,5.227565765380859,4.752874374389648
mps-uncap,0.6,16.453981399536133,5.526304244995117,4.660844802856445
mps-uncap,0.7,16.49618148803711,5.862236022949219,4.703760147094727
mps-uncap,0.1,16.05701446533203,4.792928695678711,3.870725631713867
mps-uncap,0.2,16.971111297607422,5.129098892211914,4.210472106933594
mps-uncap,0.3,14.739513397216797,5.240201950073242,4.6863555908203125
mps-uncap,0.4,16.141414642333984,5.043983459472656,4.309177398681641
