mode,load,0_inception_v3-16,1_resnet18-8,2_vgg11-4
mps-uncap,0.8,739.4047143192637,1525.029034930404,929.4574532031711
mps-uncap,0.9,834.6826541981708,1720.845686950762,1076.3459636242371
mps-uncap,1.0,925.5589589651796,1958.5648449394635,1197.2692765135344
mps-uncap,0.5,464.41621831057427,974.101708563364,585.4051153230242
mps-uncap,0.6,517.9366995435686,1158.0178695391187,695.3440190838305
mps-uncap,0.7,654.7412128448398,1346.3185366466726,797.7816910896424
mps-uncap,0.1,93.41028739273875,199.3720394432648,120.50649109105753
mps-uncap,0.2,184.44911173506003,377.95627377571134,235.48500334057994
mps-uncap,0.3,270.6778081112591,573.4095415499461,361.17112912289804
mps-uncap,0.4,359.3939897221157,777.9867217196115,471.2997746530106
