mode,load,0_efficientnet_b5-16,1_resnet101-4,2_vgg11-4
mps-uncap,0.8,101.93431377410889,36.114335060119636,12.326717376708986
mps-uncap,0.9,188.7133598327637,82.7202320098878,24.052906036376957
mps-uncap,1.0,645.5763339996339,318.16804409027094,143.8940525054932
mps-uncap,0.5,37.290382385253906,22.759389877319347,5.393362045288086
mps-uncap,0.6,48.68803024291994,23.313522338867188,6.946086883544922
mps-uncap,0.7,68.10712814331055,31.25736713409424,9.02082920074463
mps-uncap,0.1,22.380638122558594,13.291501998901369,2.5332450866699237
mps-uncap,0.2,24.60193634033203,15.974664688110364,3.258752822875977
mps-uncap,0.3,29.474210739135742,18.54078769683839,3.9216995239257812
mps-uncap,0.4,30.637025833129883,19.938516616821293,4.64475154876709
