mode,load,0_resnet152-16,1_resnet152-16
mig,0.1,0.011920928955078125,0.011444091796875
mig,0.2,0.011682510375976562,0.011682510375976562
mig,0.3,0.011920928955078125,0.011444091796875
mig,0.4,0.011682510375976562,0.010967254638671875
mig,0.5,0.011682510375976562,0.011205673217773438
mig,0.6,0.011682510375976562,0.011444091796875
mig,0.7,0.012159347534179688,0.012159347534179688
mig,0.8,0.011682510375976562,0.011920928955078125
mig,0.9,0.012159347534179688,0.011920928955078125
mig,1.0,0.011920928955078125,0.0133514404296875
