mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,20.060062408447266,12.268304824829102,5.225896835327148
mig,0.6,32.446861267089844,12.09712028503418,5.100011825561523
mps-uncap,0.7,20.317435264587402,12.472271919250488,5.14829158782959
mig,0.7,32.14871883392334,12.100458145141602,4.952907562255859
mps-uncap,0.8,22.031426429748535,12.550592422485352,5.234241485595703
mig,0.8,32.09519386291504,11.846065521240234,5.011796951293945
mps-uncap,0.9,22.117257118225098,13.72981071472168,5.139589309692383
mig,0.9,32.02176094055176,11.984109878540039,4.922151565551758
mps-uncap,1.0,22.200345993041992,12.730598449707031,5.274772644042969
mig,1.0,32.00221061706543,12.004613876342773,4.959821701049805
mps-uncap,1.1,20.66206932067871,16.095757484436035,5.38182258605957
mig,1.1,31.975865364074707,12.010574340820312,5.016326904296875
mps-uncap,1.2,20.670175552368164,16.91889762878418,5.46574592590332
mig,1.2,31.93068504333496,11.889457702636719,5.0067901611328125
mps-uncap,1.3,22.296428680419922,15.165567398071289,5.471944808959961
mig,1.3,32.006025314331055,12.195825576782227,5.029916763305664
