mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,24.498462677001953,21.715402603149414,13.773679733276367
mig,0.6,45.81427574157715,22.95684814453125,18.099308013916016
mps-uncap,0.7,35.36343574523926,33.72526168823242,20.03955841064453
mig,0.7,45.5324649810791,22.155046463012695,19.26732063293457
mps-uncap,0.8,27.52971649169922,20.468473434448242,13.586997985839844
mig,0.8,44.16370391845703,15.078306198120117,13.457059860229492
mps-uncap,0.9,26.851654052734375,21.183013916015625,15.374422073364258
mig,0.9,47.67608642578125,21.996498107910156,15.597820281982422
mps-uncap,1.0,26.770353317260742,20.603656768798828,13.686180114746094
mig,1.0,44.89779472351074,22.38178253173828,17.242431640625
mps-uncap,1.1,28.66363525390625,26.24821662902832,17.24076271057129
mig,1.1,46.36216163635254,19.664287567138672,18.912315368652344
mps-uncap,1.2,29.1445255279541,26.703357696533203,18.46146583557129
mig,1.2,43.77317428588867,21.366596221923828,19.179582595825195
mps-uncap,1.3,28.235197067260742,21.262168884277344,14.823675155639648
mig,1.3,46.35310173034668,22.505760192871094,18.37158203125
