mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,21.335959434509277,22.241830825805664,9.594202041625977
mig,0.6,43.93434524536133,16.274213790893555,7.664203643798828
mps-uncap,0.7,22.571444511413574,37.22524642944336,14.67597484588623
mig,0.7,59.40365791320801,20.233869552612305,8.56781005859375
mps-uncap,0.8,26.433587074279785,54.95023727416992,42.397499084472656
mig,0.8,71.78783416748047,25.6655216217041,11.932373046875
mps-uncap,0.9,32.280683517456055,2208.36341381073,359.063982963562
mig,0.9,103.97446155548096,43.35784912109375,21.686553955078125
mps-uncap,1.0,36.33379936218262,4906.169414520264,6325.006008148193
mig,1.0,610.8137369155884,170.03417015075684,219.15769577026367
mps-uncap,1.1,36.37897968292236,13691.837668418884,12041.04208946228
mig,1.1,6156.643271446228,3448.35889339447,4400.1981019973755
mps-uncap,1.2,43.467044830322266,16892.93146133423,14733.5844039917
mig,1.2,8235.697507858276,6328.283786773682,7974.88260269165
mps-uncap,1.3,91.98451042175293,16214.276432991028,17236.631274223328
mig,1.3,10143.629312515259,9750.440955162048,10137.513875961304
