mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,50.545332431793085,73.00049781799315,33.08086872100818
mig,0.6,225.98206996917668,53.15676212310789,21.75534248352051
mps-uncap,0.7,67.51506090164186,175.14780759811393,68.3566570281982
mig,0.7,206.14888191223142,69.18940305709833,30.951499938964858
mps-uncap,0.8,92.84678697586094,397.59942531585676,190.57470321655273
mig,0.8,290.0519084930415,102.89770126342766,53.84221076965333
mps-uncap,0.9,97.37525701522829,4132.235803604126,856.046311855316
mig,0.9,450.05397796630837,221.55903816223147,92.14457988739011
mps-uncap,1.0,138.4119606018065,9118.654308319092,12743.633160591125
mig,1.0,1795.416691303253,512.2971677780151,453.7503862380979
mps-uncap,1.1,239.70699787139893,27148.73791217804,23726.132023334503
mig,1.1,9624.663245677948,7849.825847148895,8464.760270118713
mps-uncap,1.2,177.1738243103028,33499.79571580887,29956.929712295532
mig,1.2,15829.657554626465,13999.070043563843,15706.97279214859
mps-uncap,1.3,390.82445621490484,32514.9335360527,33881.1564040184
mig,1.3,21890.89632511139,21191.907238960266,20740.166273117065
