mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,0.02193450927734375,8.911848068237305,3.91387939453125
mig,0.6,10.876774787902832,4.296541213989258,2.4967193603515625
mps-uncap,0.7,0.03790855407714844,23.047924041748047,8.920669555664062
mig,0.7,26.81601047515869,8.154749870300293,3.575563430786133
mps-uncap,0.8,4.503369331359863,41.59283638000488,36.48996353149414
mig,0.8,39.46566581726074,13.845682144165039,6.873607635498047
mps-uncap,0.9,9.995460510253906,2193.6742067337036,353.59156131744385
mig,0.9,71.39623165130615,31.299591064453125,16.7083740234375
mps-uncap,1.0,14.056682586669922,4892.5957679748535,6319.591045379639
mig,1.0,577.9051780700684,158.01358222961426,214.15185928344727
mps-uncap,1.1,15.406608581542969,13679.483532905579,12035.639643669128
mig,1.1,6124.552369117737,3436.2493753433228,4394.860744476318
mps-uncap,1.2,22.792577743530273,16880.664587020874,14726.07421875
mig,1.2,8203.814506530762,6316.458225250244,7969.869017601013
mps-uncap,1.3,69.66471672058105,16198.170900344849,17230.547070503235
mig,1.3,10111.43183708191,9738.32368850708,10132.53402709961
