mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,104.4156551361084,116.64938926696777,53.2228946685791
mig,0.6,274.733304977417,96.73810005187988,41.01705551147461
mps-uncap,0.7,108.48379135131836,274.7480869293213,102.72407531738281
mig,0.7,290.99559783935547,118.91984939575195,56.15234375
mps-uncap,0.8,156.24618530273438,494.65274810791016,222.3222255706787
mig,0.8,405.9436321258545,144.7744369506836,90.90662002563477
mps-uncap,0.9,147.69625663757324,4192.359924316406,886.0390186309814
mig,0.9,603.7075519561768,321.40660285949707,119.99344825744629
mps-uncap,1.0,224.51090812683105,9319.64659690857,12901.867151260376
mig,1.0,1901.1282920837402,570.4948902130127,485.92400550842285
mps-uncap,1.1,332.67927169799805,27334.118366241455,23834.18107032776
mig,1.1,9687.076568603516,8023.672103881836,8577.073097229004
mps-uncap,1.2,255.48648834228516,33814.86701965332,30259.43613052368
mig,1.2,15921.499490737915,14263.355731964111,15937.110185623169
mps-uncap,1.3,468.13225746154785,32830.060958862305,34150.98595619202
mig,1.3,22356.63342475891,21440.69504737854,20948.984146118164
