mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,124.85718727111816,134.20629501342773,58.3491325378418
mig,0.6,307.0807456970215,108.72030258178711,46.02313041687012
mps-uncap,0.7,129.60243225097656,291.5830612182617,107.82146453857422
mig,0.7,322.709321975708,131.0594081878662,61.0654354095459
mps-uncap,0.8,178.11989784240723,510.3170871734619,229.74014282226562
mig,0.8,437.9706382751465,156.47053718566895,95.98278999328613
mps-uncap,0.9,170.12429237365723,4208.004713058472,891.0112380981445
mig,0.9,635.8048915863037,333.3702087402344,125.03504753112793
mps-uncap,1.0,246.99687957763672,9331.679582595825,12911.26012802124
mig,1.0,1932.8911304473877,582.4627876281738,490.8864498138428
mps-uncap,1.1,354.19511795043945,27351.4666557312,23845.179796218872
mig,1.1,9718.777894973755,8036.952972412109,8584.591388702393
mps-uncap,1.2,276.31187438964844,33835.38103103638,30268.223524093628
mig,1.2,15953.214645385742,14275.592565536499,15946.37680053711
mps-uncap,1.3,489.8109436035156,32845.89457511902,34165.809631347656
mig,1.3,22390.317916870117,21455.700159072876,20960.225582122803
