mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,20.77782154083252,37.84279823303223,16.415953636169426
mig,0.6,67.49451160430908,25.04339218139648,11.304521560668949
mps-uncap,0.7,31.667327880859382,91.82472229003906,33.565640449523926
mig,0.7,98.88374805450441,33.6448907852173,14.599084854125973
mps-uncap,0.8,42.21045970916748,143.58186721801755,127.06756591796878
mig,0.8,167.96841621398926,54.558753967285156,27.106285095214844
mps-uncap,0.9,48.190474510192885,3979.1100502014165,772.4217891693116
mig,0.9,268.43059062957764,115.8106803894043,56.51974678039551
mps-uncap,1.0,62.470722198486314,8450.75855255127,11759.042716026306
mig,1.0,1611.221504211426,361.86366081237793,365.4480934143067
mps-uncap,1.1,71.55394554138184,24471.157598495483,21572.86846637726
mig,1.1,9292.778968811035,6975.04689693451,7963.923859596252
mps-uncap,1.2,91.8875694274903,30443.25413703919,27355.61490058899
mig,1.2,14148.160219192505,12775.953912734985,14411.485147476196
mps-uncap,1.3,251.5899658203126,29401.40736103058,31093.734645843506
mig,1.3,19576.353883743286,18831.438875198364,18561.641550064087
