mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,301.6374534456702,201.3191471372898,964.4205890533825
mig,0.6,293.1184343471226,196.52937702710057,959.7202479512905
mps-uncap,0.7,360.3744688131792,232.1169815562403,1127.2777039190341
mig,0.7,352.308218531327,224.63404827651559,1106.7731047930142
mps-uncap,0.8,397.2529741309913,266.57181871689596,1281.4696422850284
mig,0.8,393.88003659123126,267.8582850412992,1282.7964632187889
mps-uncap,0.9,451.5942643030223,276.01120122367786,1420.3640698905779
mig,0.9,438.0140877673593,292.1236952583232,1455.1223119309964
mps-uncap,1.0,485.0940953597208,291.46866608783,1346.611967617414
mig,1.0,475.5122199061466,322.9622220248952,1590.16304394849
mps-uncap,1.1,528.1607227057335,258.82758697252024,1302.8305389992868
mig,1.1,495.03913472640573,330.3504689884985,1577.3664544322294
mps-uncap,1.2,595.7974140834064,252.72988070899393,1272.844281694801
mig,1.2,495.93694918375974,334.70079924645864,1583.6889185287187
mps-uncap,1.3,641.494786462145,279.59656252992386,1286.4424710512833
mig,1.3,492.4779121696461,326.2073439636488,1574.7214904325092
