mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,15.868902206420898,11.771917343139648,5.011796951293945
mig,0.6,31.598329544067383,11.770963668823242,4.959344863891602
mps-uncap,0.7,16.483545303344727,11.972427368164062,4.923105239868164
mig,0.7,31.59332275390625,11.847734451293945,4.827022552490234
mps-uncap,0.8,16.21103286743164,12.137413024902344,5.025386810302734
mig,0.8,31.704187393188477,11.615991592407227,4.925012588500977
mps-uncap,0.9,19.12665367126465,11.992931365966797,4.997730255126953
mig,0.9,31.731605529785156,11.847734451293945,4.83250617980957
mps-uncap,1.0,21.05426788330078,12.265682220458984,5.101203918457031
mig,1.0,31.77332878112793,11.902809143066406,4.922389984130859
mps-uncap,1.1,18.83077621459961,15.358448028564453,5.094289779663086
mig,1.1,34.53683853149414,11.948585510253906,5.256414413452148
mps-uncap,1.2,19.810199737548828,14.220476150512695,7.833719253540039
mig,1.2,32.43875503540039,12.625455856323242,5.378246307373047
mps-uncap,1.3,19.898653030395508,14.620780944824219,5.297422409057617
mig,1.3,31.87870979309082,12.226104736328125,5.157709121704102
