mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,23.54508876800537,19.777770042419434,10.361859798431396
mig,0.6,35.109102725982666,13.791327476501465,6.368532180786133
mps-uncap,0.7,23.422584533691406,19.806063175201416,10.265743732452393
mig,0.7,35.10103940963745,13.298158645629881,6.135749816894532
mps-uncap,0.8,26.07877254486084,16.57220363616943,10.61919689178467
mig,0.8,34.93074417114258,12.865839004516602,5.991888046264649
mps-uncap,0.9,26.202380657196045,19.246044158935547,9.083065986633295
mig,0.9,35.02395153045654,12.946023941040039,5.897512435913086
mps-uncap,1.0,25.72895050048828,16.576623916625977,10.310983657836912
mig,1.0,34.90504503250122,12.872257232666016,5.903854370117185
mps-uncap,1.1,23.61748218536377,19.770870208740238,10.315620899200438
mig,1.1,34.9523663520813,12.871420383453367,5.830972194671629
mps-uncap,1.2,23.669891357421882,19.811670780181885,10.444917678833008
mig,1.2,34.81802940368652,12.643222808837892,5.8164381980896
mps-uncap,1.3,25.21084308624268,16.745877265930176,10.010137557983398
mig,1.3,34.97680187225342,12.95932054519653,5.829219818115234
