mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,15.838146209716797,11.72184944152832,4.9686431884765625
mig,0.6,31.523466110229492,11.731863021850586,4.918098449707031
mps-uncap,0.7,16.0520076751709,11.879920959472656,4.8770904541015625
mig,0.7,31.554698944091797,11.786699295043945,4.795312881469727
mps-uncap,0.8,16.19243621826172,12.009620666503906,4.97126579284668
mig,0.8,31.546354293823242,11.561155319213867,4.878997802734375
mps-uncap,0.9,16.58010482788086,11.818170547485352,4.928350448608398
mig,0.9,31.522512435913086,11.759281158447266,4.798650741577148
mps-uncap,1.0,16.701936721801758,11.982202529907227,4.895925521850586
mig,1.0,31.52155876159668,11.795759201049805,4.844188690185547
mps-uncap,1.1,18.813133239746094,12.109518051147461,4.901647567749023
mig,1.1,31.553030014038086,11.812686920166016,4.888296127319336
mps-uncap,1.2,16.715288162231445,11.819839477539062,4.868268966674805
mig,1.2,31.53824806213379,11.694908142089844,4.893779754638672
mps-uncap,1.3,19.880294799804688,11.872529983520508,4.830598831176758
mig,1.3,31.56137466430664,11.993646621704102,4.90570068359375
