mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,41.01741313934326,51.48963928222658,22.207045555114743
mig,0.6,99.96306896209717,37.053251266479485,16.398715972900394
mps-uncap,0.7,51.64473056793213,106.5903186798096,39.560556411743164
mig,0.7,130.7983160018921,45.620870590209975,19.618844985961914
mps-uncap,0.8,64.08607959747314,157.76219367980954,132.77568817138672
mig,0.8,200.04863739013672,66.43900871276857,32.18245506286621
mps-uncap,0.9,70.51620483398438,3994.343852996826,778.1840324401855
mig,0.9,300.54354667663574,127.83489227294922,61.476945877075195
mps-uncap,1.0,84.87958908081053,8465.027713775635,11764.731526374817
mig,1.0,1644.0216064453125,373.9029884338379,370.55888175964355
mps-uncap,1.1,92.21806526184083,24489.034032821655,21580.56628704071
mig,1.1,9324.628472328186,6987.050724029542,7968.965983390809
mps-uncap,1.2,112.5243186950684,30455.621337890625,27362.61792182922
mig,1.2,14180.36675453186,12787.92896270752,14416.440987586975
mps-uncap,1.3,273.98705482482916,29414.753007888794,31098.650336265564
mig,1.3,19608.217668533325,18843.868565559387,18566.834926605225
