mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,22.064828872680664,17.47150421142578,7.5697898864746085
mig,0.6,33.9961051940918,12.671470642089844,5.60445785522461
mps-uncap,0.7,22.13113307952881,17.940306663513184,8.065581321716309
mig,0.7,33.93821716308594,12.57772445678711,5.377054214477539
mps-uncap,0.8,24.56343173980713,15.71478843688965,8.245468139648438
mig,0.8,33.883094787597656,12.247323989868164,5.294561386108398
mps-uncap,0.9,24.565434455871582,17.667269706726074,7.4117422103881845
mig,0.9,33.725738525390625,12.358665466308594,5.171012878417969
mps-uncap,1.0,24.29180145263672,15.91005325317383,8.513021469116211
mig,1.0,33.673715591430664,12.369632720947266,5.16357421875
mps-uncap,1.1,21.78483009338379,18.383169174194336,9.079813957214355
mig,1.1,33.4630012512207,12.358975410461426,5.20617961883545
mps-uncap,1.2,21.45404815673828,18.428635597229004,9.418201446533203
mig,1.2,33.19144248962402,12.147140502929688,5.141258239746094
mps-uncap,1.3,22.870588302612305,16.175317764282227,8.838629722595215
mig,1.3,33.68411064147949,12.456822395324707,5.18488883972168
