mode,load,0_efficientnet_b5-16,1_densenet121-4,2_mobilenet_v3_large-8
mps-uncap,0.6,0.014543533325195312,0.011920928955078125,0.012159347534179688
mig,0.6,0.014543533325195312,0.011920928955078125,0.011920928955078125
mps-uncap,0.7,0.01430511474609375,0.01430511474609375,0.014066696166992188
mig,0.7,0.014543533325195312,0.01239776611328125,0.011920928955078125
mps-uncap,0.8,0.01430511474609375,0.01430511474609375,0.012874603271484375
mig,0.8,0.014543533325195312,0.011682510375976562,0.011920928955078125
mps-uncap,0.9,0.012874603271484375,0.015497207641601562,0.014543533325195312
mig,0.9,0.014543533325195312,0.012636184692382812,0.012159347534179688
mps-uncap,1.0,0.014781951904296875,0.018835067749023438,0.015020370483398438
mig,1.0,0.014543533325195312,0.014543533325195312,0.014781951904296875
mps-uncap,1.1,0.014543533325195312,0.018358230590820312,0.0152587890625
mig,1.1,0.017881393432617188,0.015497207641601562,0.017404556274414062
mps-uncap,1.2,0.01430511474609375,0.015020370483398438,0.021457672119140625
mig,1.2,0.020265579223632812,0.021219253540039062,0.02384185791015625
mps-uncap,1.3,0.014543533325195312,0.02002716064453125,0.018835067749023438
mig,1.3,0.018596649169921875,0.015735626220703125,0.015974044799804688
