mode,load,0_densenet201-2,1_efficientnet_b6-4,2_resnet18-32
mps-uncap,0.8,94.67816352844238,149.21832084655767,66.68000221252441
mps-uncap,0.9,170.92289924621585,725.4892826080321,1663.8876438140874
mps-uncap,1.0,199.51186180114752,4372.124099731445,7126.507663726807
mps-uncap,0.5,45.87786197662354,44.34900283813477,15.993833541870124
mps-uncap,0.6,56.24103546142578,59.32929515838624,20.294499397277832
mps-uncap,0.7,89.76471424102783,64.17469978332518,28.450751304626465
mps-uncap,0.1,38.21144104003906,32.33075141906738,9.69996452331543
mps-uncap,0.2,35.01129150390625,31.786870956420895,10.22801399230957
mps-uncap,0.3,37.053585052490234,32.5657844543457,11.267638206481937
mps-uncap,0.4,42.655563354492195,39.148783683776934,13.044738769531254
