mode,load,0_densenet201-2,1_efficientnet_b6-4,2_resnet18-32
mps-uncap,0.8,233.7014675140381,348.45757484436035,131.88958168029785
mps-uncap,0.9,407.3147773742676,1072.713851928711,2343.2116508483887
mps-uncap,1.0,477.9088497161865,4830.022573471069,7998.852014541626
mps-uncap,0.5,122.81203269958496,112.57600784301758,50.15254020690918
mps-uncap,0.6,111.36555671691895,174.46422576904297,52.83498764038086
mps-uncap,0.7,195.09530067443848,142.82608032226562,91.86863899230957
mps-uncap,0.1,60.12725830078125,47.27339744567871,18.54419708251953
mps-uncap,0.2,59.93962287902832,65.61589241027832,25.977611541748047
mps-uncap,0.3,79.76770401000977,60.28342247009277,32.65190124511719
mps-uncap,0.4,105.1018238067627,89.85328674316406,36.29302978515625
