mode,load,0_efficientnet_b6-32,1_resnet18-32,2_resnet34-32
mps-uncap,0.8,339.5930576324463,74.14198637008687,229.11932945251488
mps-uncap,0.9,621.732454299927,164.68951225280665,226.38952255249018
mps-uncap,1.0,1514.6614313125604,724.9241113662719,1055.6299662590027
mps-uncap,0.5,130.4810142517089,28.536748886108423,40.99064826965331
mps-uncap,0.6,220.93816757202143,38.05473566055273,52.90763378143309
mps-uncap,0.7,243.60920429229733,54.06993389129629,73.90177011489882
mps-uncap,0.1,67.9483437538147,11.638307571411135,19.566774368286126
mps-uncap,0.2,78.50016117095934,15.737848281860357,22.362964153289795
mps-uncap,0.3,89.46997404098506,19.783878326415994,26.531922817230253
mps-uncap,0.4,101.77236557006849,20.986280441284194,30.53184747695922
