mode,load,0_efficientnet_b6-32,1_resnet18-32,2_resnet34-32
mps-uncap,0.8,328.6252021789551,92.31853485107422,253.4937858581543
mps-uncap,0.9,642.0028209686279,252.43782997131348,240.7376766204834
mps-uncap,1.0,1566.5230751037598,773.6697196960449,1101.5357971191406
mps-uncap,0.5,110.95857620239258,44.0068244934082,47.10102081298828
mps-uncap,0.6,205.18875122070312,50.07457733154297,78.36079597473145
mps-uncap,0.7,286.91983222961426,66.6358470916748,92.25726127624512
mps-uncap,0.1,32.509803771972656,8.45026969909668,6.093263626098633
mps-uncap,0.2,62.18552589416504,18.884897232055664,23.88310432434082
mps-uncap,0.3,52.65498161315918,28.142213821411133,24.654865264892578
mps-uncap,0.4,71.2575912475586,23.259401321411133,27.479887008666992
