mode,load,0_densenet169-16,1_densenet201-8,2_inception_v3-16
mps-uncap,0.8,224.22833442687988,150.89151382446263,111.34628295898438
mps-uncap,0.9,1920.0102329254155,607.1573162078857,177.2739028930664
mps-uncap,1.0,9391.140253543854,440.2822113037106,6098.058395385742
mps-uncap,0.5,55.28492212295534,60.14024257659904,24.09968376159671
mps-uncap,0.6,75.62453746795649,92.43326187133775,50.42784214019775
mps-uncap,0.7,129.39945220947263,91.39641761779787,73.98648738861077
mps-uncap,0.1,27.869529724121094,30.009698867797855,16.436841487884507
mps-uncap,0.2,25.698313713073773,25.848379135131825,20.72775363922119
mps-uncap,0.3,33.07791233062744,29.265499114990227,20.635967254638675
mps-uncap,0.4,41.01511001586916,47.067518234252894,21.29829168319703
