mode,load,0_densenet169-16,1_densenet201-8,2_inception_v3-16
mps-uncap,0.8,246.9236564636231,174.6666812896726,124.48969841003418
mps-uncap,0.9,1941.2147998809817,634.0021514892579,190.45254707336426
mps-uncap,1.0,9416.011395454407,465.2704811096188,6111.19478225708
mps-uncap,0.5,77.75878906250003,81.41947031021118,35.19220352172854
mps-uncap,0.6,95.90219259262078,114.48605060577373,63.75935554504393
mps-uncap,0.7,152.18904495239255,113.5120487213135,87.17245340347289
mps-uncap,0.1,46.41555786132815,55.57525157928467,32.66005754470825
mps-uncap,0.2,44.80525016784676,47.755155563354485,34.17384624481201
mps-uncap,0.3,53.11396121978759,50.35375833511352,31.86053514480592
mps-uncap,0.4,59.12397384643557,68.2310891151428,33.145961761474624
