mode,load,0_densenet169-16,1_densenet201-8,2_inception_v3-16
mps-uncap,0.8,139.82458114624023,111.57732009887695,67.51990318298343
mps-uncap,0.9,1664.513111114502,485.60552597045904,107.83071517944337
mps-uncap,1.0,8687.075901031492,349.5961189270019,5570.8094120025635
mps-uncap,0.5,42.862606048583984,52.32226848602296,22.34935760498047
mps-uncap,0.6,57.22916126251221,62.62850761413574,33.649754524230985
mps-uncap,0.7,85.63122749328613,67.10524559020996,46.32503986358643
mps-uncap,0.1,30.83343505859375,36.55142784118653,20.42245864868164
mps-uncap,0.2,30.542230606079105,31.31203651428223,21.579742431640625
mps-uncap,0.3,33.13341140747071,37.01820373535156,20.07575035095215
mps-uncap,0.4,36.61026954650879,44.93160247802735,21.220707893371586
