mode,load,0_densenet169-16,1_densenet201-8,2_inception_v3-16
mps-uncap,0.8,599.798301543729,251.72846071099056,909.3369328974924
mps-uncap,0.9,670.779102029372,275.7125972648265,1060.2344548510614
mps-uncap,1.0,646.1295526384065,308.1642021337241,1066.5345762537004
mps-uncap,0.5,369.3656771717766,157.23103078531656,572.2148084923112
mps-uncap,0.6,447.0734187004967,190.77262216698145,683.5455521586509
mps-uncap,0.7,523.1115614465592,223.95124009690397,817.1545167068012
mps-uncap,0.1,78.7369964687172,30.568652193662338,117.26758301780865
mps-uncap,0.2,152.46835552828546,61.856006553603876,223.4749232647825
mps-uncap,0.3,222.48830386691378,88.47674445644216,348.43648980089887
mps-uncap,0.4,290.61581640278854,132.0552570111017,462.47254929034324
