mode,load,0_vgg19-16,1_mobilenet_v3_small-2,2_resnet18-2
mps-uncap,1.0,1181.4618874476175,204.91329755725812,305.2421764901457
mig,1.0,624.3177136295328,479.5429912743004,972.0294014189419
