mode,load,0_inception_v3-4,1_inception_v3-4,2_inception_v3-4,3_inception_v3-4
mig,0.1,13.688325881958008,14.524459838867188,13.640165328979492,13.67044448852539
mig,0.2,14.252185821533203,13.882875442504883,14.859437942504883,13.650655746459961
mig,0.3,13.807296752929688,14.653682708740234,13.659238815307617,14.454126358032227
mig,0.4,12.992620468139648,14.030933380126953,13.151884078979492,13.976335525512695
mig,0.5,11.780023574829102,11.833667755126953,11.738300323486328,12.855052947998047
mig,0.6,9.715080261230469,10.396718978881836,10.006427764892578,10.77890396118164
mig,0.7,9.22083854675293,8.86082649230957,9.479522705078125,11.211156845092773
mig,0.8,8.324146270751953,8.204221725463867,8.013010025024414,10.727643966674805
mig,0.9,8.54349136352539,8.68988037109375,9.435892105102539,10.837793350219727
mig,1.0,11.244535446166992,10.784387588500977,6.994485855102539,10.667085647583008
