mode,load,0_efficientnet_b5-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,1.0,16.896486282348633,4.436969757080078,4.429340362548828
mig,1.0,16.522645950317383,5.031347274780273,5.100250244140625
