mode,load,0_efficientnet_b5-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,1.0,0.0045299530029296875,0.0069141387939453125,0.0011920928955078125
mig,1.0,0.0040531158447265625,0.0007152557373046875,0.0057220458984375
