mode,load,0_efficientnet_b5-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,1.0,17.852840423583984,6.163206100463866,6.182336807250978
mig,1.0,17.90817260742187,5.847983360290523,5.890336036682134
