mode,load,0_efficientnet_b5-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,1.0,472.80027412367633,1687.6675783979017,1687.4442542353256
mig,1.0,480.64268490955476,1563.3552123306724,1543.2449696745034
