mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,2.464771270751953,4.964351654052734,4.7643399238586435
mps-uncap,0.9,2.468109130859375,5.1142120361328125,4.263291358947754
mps-uncap,1.0,2.31091022491455,5.164861679077148,4.538388252258301
mps-uncap,0.5,2.4458670616149902,6.248345375061035,6.14055633544922
mps-uncap,0.6,2.4640560150146484,5.8630871772766096,5.624659061431885
mps-uncap,0.7,2.487800121307373,5.257110595703125,4.915618896484366
mps-uncap,0.1,2.1805763244628906,6.5917706489563,6.854555606842041
mps-uncap,0.2,2.2616195678710933,6.925847530364984,6.788177490234375
mps-uncap,0.3,2.3628020286560063,6.763458251953125,6.741533279418945
mps-uncap,0.4,2.4517035484313965,6.89596176147461,6.662511825561525
