mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,0.8778572082519531,2.3589134216308594,1.5673637390136719
mps-uncap,0.9,2.234220504760742,7.29823112487793,2.7712583541870117
mps-uncap,1.0,9.29713249206543,35.72416305541992,17.044782638549805
mps-uncap,0.5,0.039577484130859375,0.044345855712890625,0.1709461212158203
mps-uncap,0.6,0.041961669921875,0.37872791290283203,0.400543212890625
mps-uncap,0.7,0.38743019104003906,1.3005733489990234,0.7009506225585938
mps-uncap,0.1,0.04315376281738281,0.04935264587402344,0.049591064453125
mps-uncap,0.2,0.04315376281738281,0.04935264587402344,0.048160552978515625
mps-uncap,0.3,0.04315376281738281,0.048160552978515625,0.0476837158203125
mps-uncap,0.4,0.04088878631591797,0.04887580871582031,0.04601478576660156
