mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,18.961429595947266,59.04984474182129,37.7962589263916
mps-uncap,0.9,34.07478332519531,106.49824142456055,71.47598266601562
mps-uncap,1.0,97.60904312133789,208.29367637634277,128.67283821105957
mps-uncap,0.5,9.076118469238281,33.24556350708008,26.536941528320312
mps-uncap,0.6,10.517597198486328,26.706695556640625,33.21695327758789
mps-uncap,0.7,16.56794548034668,37.670135498046875,26.234149932861328
mps-uncap,0.1,3.3681392669677734,15.232086181640625,17.9898738861084
mps-uncap,0.2,5.078792572021484,20.609378814697266,24.912118911743164
mps-uncap,0.3,6.2351226806640625,32.99117088317871,27.163267135620117
mps-uncap,0.4,7.040977478027344,26.810884475708008,26.24201774597168
