mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,0.9975433349609375,3.0527114868164062,2.3109912872314453
mps-uncap,0.9,0.99945068359375,3.0546188354492188,2.3651123046875
mps-uncap,1.0,1.0023117065429688,3.0629634857177734,2.3224353790283203
mps-uncap,0.5,0.9992122650146484,3.052234649658203,2.349853515625
mps-uncap,0.6,1.0037422180175781,3.0524730682373047,2.2950172424316406
mps-uncap,0.7,0.9949207305908203,3.049135208129883,2.3512840270996094
mps-uncap,0.1,1.0027885437011719,3.0586719512939453,2.3517608642578125
mps-uncap,0.2,1.0042190551757812,3.0565261840820312,2.372264862060547
mps-uncap,0.3,0.9961128234863281,3.055095672607422,2.329587936401367
mps-uncap,0.4,1.0018348693847656,3.0591487884521484,2.3353099822998047
