mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,3739.9123795924274,2561.2896440294708,408.82827411928116
mps-uncap,0.9,4343.581471173868,2891.5178334520615,451.032817111344
mps-uncap,1.0,4737.492969584017,3226.241425528022,488.0605222490494
mps-uncap,0.5,2381.4309034575012,1608.2191778819213,254.13576178479966
mps-uncap,0.6,2789.9625397773416,1978.279517614421,298.6542916007373
mps-uncap,0.7,3326.6758770663446,2235.934499218167,349.5965661596751
mps-uncap,0.1,484.44521068121577,332.8164434622756,50.02109930658187
mps-uncap,0.2,960.9876623465226,630.4441425465757,97.3894670377935
mps-uncap,0.3,1429.3769995500274,956.4352926222967,150.6692462863274
mps-uncap,0.4,1937.5859954243292,1302.6765046273129,199.8345838475627
