mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,2.335071563720703,6.4334869384765625,4.611492156982422
mps-uncap,0.9,3.7598609924316406,11.845827102661133,6.0225725173950195
mps-uncap,1.0,10.893583297729492,40.45701026916504,20.775318145751953
mps-uncap,0.5,1.456141471862793,5.502104759216309,5.122661590576172
mps-uncap,0.6,1.652836799621582,5.2558183670043945,4.538059234619141
mps-uncap,0.7,1.9110441207885742,5.385160446166992,4.181623458862305
mps-uncap,0.1,1.3537406921386719,5.770564079284668,6.00743293762207
mps-uncap,0.2,1.38092041015625,5.982875823974609,6.108760833740234
mps-uncap,0.3,1.4111995697021484,6.306886672973633,6.18743896484375
mps-uncap,0.4,1.4452934265136719,6.107807159423828,5.74493408203125
