mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,17.67253875732422,54.65364456176758,33.91242027282715
mps-uncap,0.9,32.0131778717041,101.59897804260254,68.603515625
mps-uncap,1.0,96.06075286865234,203.49431037902832,125.23889541625977
mps-uncap,0.5,7.615566253662109,29.02531623840332,22.678375244140625
mps-uncap,0.6,8.817195892333984,22.467374801635742,28.039932250976562
mps-uncap,0.7,14.55998420715332,33.69760513305664,22.65310287475586
mps-uncap,0.1,2.2630691528320312,9.898900985717773,12.329816818237305
mps-uncap,0.2,3.818988800048828,15.086650848388672,20.99895477294922
mps-uncap,0.3,4.981040954589844,29.13522720336914,24.857759475708008
mps-uncap,0.4,5.593299865722656,22.86815643310547,22.29166030883789
