mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,2.0062923431396484,4.771947860717773,4.095220565795899
mps-uncap,0.9,2.065420150756836,4.9509525299072275,3.937959671020508
mps-uncap,1.0,2.1250247955322266,4.999876022338867,4.329180717468262
mps-uncap,0.5,1.838755607604982,5.53114414215088,5.412054061889648
mps-uncap,0.6,1.9390583038330078,5.205869674682617,4.602718353271484
mps-uncap,0.7,2.0186901092529297,4.837274551391602,4.074764251708984
mps-uncap,0.1,1.4429807662963867,6.1415910720825195,6.395673751831055
mps-uncap,0.2,1.458883285522461,6.373429298400879,6.41026496887207
mps-uncap,0.3,1.544260978698731,6.460976600646973,6.367826461791992
mps-uncap,0.4,1.6887187957763672,6.2705278396606445,6.068229675292969
