mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,0.9839534759521484,3.038167953491211,2.264261245727539
mps-uncap,0.9,0.9844303131103516,3.035306930541992,2.3195743560791016
mps-uncap,1.0,0.9837150573730469,3.0443668365478516,2.262115478515625
mps-uncap,0.5,0.9891986846923828,3.0372142791748047,2.292633056640625
mps-uncap,0.6,0.9925365447998047,3.0364990234375,2.2537708282470703
mps-uncap,0.7,0.9825229644775391,3.034830093383789,2.3145675659179688
mps-uncap,0.1,0.9906291961669922,3.0431747436523438,2.3283958435058594
mps-uncap,0.2,0.9894371032714844,3.043651580810547,2.296924591064453
mps-uncap,0.3,0.9846687316894531,3.038644790649414,2.295970916748047
mps-uncap,0.4,0.9744167327880859,3.042936325073242,2.287149429321289
