mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,5.747032165527345,14.951944351196289,11.108946800231934
mps-uncap,0.9,10.173320770263672,37.50643730163576,14.729213714599608
mps-uncap,1.0,44.686269760131815,98.00305366516115,62.31298446655273
mps-uncap,0.5,2.9976367950439453,10.671520233154299,10.377931594848635
mps-uncap,0.6,3.55038642883301,11.032319068908693,9.599685668945312
mps-uncap,0.7,4.490733146667482,12.36696243286133,9.203982353210446
mps-uncap,0.1,1.5555143356323242,6.608748435974121,7.7413558959960955
mps-uncap,0.2,2.0133495330810542,9.66067314147949,10.517263412475586
mps-uncap,0.3,2.30553150177002,10.976028442382812,11.626529693603516
mps-uncap,0.4,2.603936195373535,11.723875999450684,11.235713958740234
