mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,2.733469009399414,5.882024765014648,6.032228469848633
mps-uncap,0.9,3.5216808319091797,5.593538284301758,5.410909652709961
mps-uncap,1.0,3.409147262573242,6.202459335327148,5.61833381652832
mps-uncap,0.5,2.778291702270508,6.855010986328125,6.830930709838867
mps-uncap,0.6,2.796649932861328,6.589651107788086,6.991147994995117
mps-uncap,0.7,3.250598907470703,6.1187744140625,6.2465667724609375
mps-uncap,0.1,2.5930404663085938,7.439136505126953,7.087469100952148
mps-uncap,0.2,2.686023712158203,10.251283645629883,7.3699951171875
mps-uncap,0.3,2.7184486389160156,7.236242294311523,7.404804229736328
mps-uncap,0.4,2.7306079864501953,9.971380233764648,7.682561874389648
