mode,load,0_alexnet-8,1_mobilenet_v2-16,2_mobilenet_v3_small-2
mps-uncap,0.8,11.010448932647705,28.887939453125032,21.832685470581065
mps-uncap,0.9,19.815349578857415,80.6036567687989,39.51557159423828
mps-uncap,1.0,70.17460346221918,171.1355495452881,100.59717893600468
mps-uncap,0.5,5.041184425354003,18.14046859741211,17.016105651855476
mps-uncap,0.6,6.2436342239379945,18.8178277015686,17.756345272064216
mps-uncap,0.7,8.62143516540528,22.49408721923825,15.946712493896467
mps-uncap,0.1,2.4479150772094727,10.772852897644043,12.403998374938965
mps-uncap,0.2,2.977895736694335,14.795660972595162,15.359258651733402
mps-uncap,0.3,3.5223054885864262,17.143383026123068,19.65622901916501
mps-uncap,0.4,4.2742395401000985,18.412477970123305,18.671655654907237
