mode,load,0_vgg13-8,1_alexnet-2,2_resnet34-8
mps-uncap,1.0,7.100105285644531,3.8762474060058585,15.917139053344728
mig,1.0,11.402754783630371,1.8508434295654297,8.015034198760988
