mode,load,0_efficientnet_b6-2,1_resnet18-8,2_squeezenet1_0-4
mps-uncap,0.8,123.3968734741211,23.140430450439453,24.8870849609375
mps-uncap,0.9,138.50688934326172,35.0191593170166,33.336639404296875
mps-uncap,1.0,967.8833484649658,76.37333869934082,437.69121170043945
mps-uncap,0.5,51.531314849853516,12.189865112304688,15.05279541015625
mps-uncap,0.6,57.03139305114746,16.590356826782227,16.0977840423584
mps-uncap,0.7,101.39203071594238,18.82028579711914,13.94796371459961
mps-uncap,0.1,57.212114334106445,5.863189697265625,4.534482955932617
mps-uncap,0.2,37.7345085144043,9.867429733276367,7.416248321533203
mps-uncap,0.3,31.098604202270508,13.562917709350586,12.047290802001953
mps-uncap,0.4,45.66192626953125,12.210845947265625,13.347387313842773
