mode,load,0_densenet169-32,1_resnet34-32,2_vgg19-2
mps-uncap,0.8,306.8160295486451,122.20320701599124,38.28926086425781
mps-uncap,0.9,2143.3287858963017,707.4909210205078,112.35723495483406
mps-uncap,1.0,7528.354549407958,3753.2191276550293,3332.0422887802124
mps-uncap,0.5,61.09442710876464,22.945046424865723,9.74102020263672
mps-uncap,0.6,82.7794075012207,27.901411056518555,12.787342071533203
mps-uncap,0.7,111.40289306640625,42.254018783569336,17.93501377105713
mps-uncap,0.1,43.500757217407234,13.031959533691408,4.772615432739259
mps-uncap,0.2,37.923479080200195,14.450287818908702,5.807471275329592
mps-uncap,0.3,45.84012031555175,16.741466522216797,6.587505340576172
mps-uncap,0.4,53.563070297241225,18.20595264434815,8.007049560546875
