mode,load,0_inception_v3-16,1_mobilenet_v2-2,2_resnet50-8
mps-uncap,0.8,15.017271041870117,4.513859748840332,8.417844772338867
mps-uncap,0.9,20.66183090209961,8.256196975708008,10.866403579711914
mps-uncap,1.0,83.11581611633301,606.4550876617432,27.95100212097168
mps-uncap,0.5,10.43701171875,3.941059112548828,6.618380546569824
mps-uncap,0.6,10.632872581481934,3.701925277709961,6.421804428100586
mps-uncap,0.7,11.069536209106445,3.978252410888672,6.841778755187988
mps-uncap,0.1,11.980056762695312,5.46872615814209,6.699085235595703
mps-uncap,0.2,11.90185546875,5.564212799072266,6.563067436218262
mps-uncap,0.3,11.831998825073242,5.4759979248046875,6.627559661865234
mps-uncap,0.4,11.582374572753906,4.79435920715332,7.007360458374023
