mode,load,0_inception_v3-16,1_mobilenet_v2-2,2_resnet50-8
mps-uncap,0.8,1054.3830203832235,539.021888283321,956.483677200944
mps-uncap,0.9,1169.164512635145,610.6077143618953,1060.6527767307011
mps-uncap,1.0,1339.036200069691,661.1248972684151,1213.0533777223193
mps-uncap,0.5,674.6529908794945,341.4604383606765,597.6154441668799
mps-uncap,0.6,803.5080265005761,403.73128129694106,718.7279400956817
mps-uncap,0.7,937.3065025785046,472.3251428863606,860.2553644854893
mps-uncap,0.1,131.53521312635553,68.60879137811287,115.03233554474028
mps-uncap,0.2,271.1739341837233,136.66779830685854,235.1999598029177
mps-uncap,0.3,402.3584361716296,203.66811952945073,364.9380843139581
mps-uncap,0.4,548.7038549739028,271.3457808837129,481.1689904752852
